company_name,company_linkedin_url,job_title,time_posted,num_applicants
Pentastone Capital,https://www.linkedin.com/company/pentastone-capital,Staff Software Engineer,,0
Prolific,https://uk.linkedin.com/company/prolific-com,"Python - Senior Developers - AI Training - Las Vegas, USA",,0
SIMPLY COMMERCE LTD,https://www.linkedin.com/company/simply-commerce-ltd,Advertised by:,,0
CFD Research Corporation,https://www.linkedin.com/company/cfdresearchcorp,Full Stack Developer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,"Software Engineer (Js, Java)",,0
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
"Yoh, A Day & Zimmermann Company",https://www.linkedin.com/company/yoh-a-day-&-zimmermann-company,Senior Platform Engineer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Software Engineer - AI Trainer,,0
GenPark,https://www.linkedin.com/company/genparkai,Data Science Engineer Intern,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Software Engineer - AI Trainer,,0
Pacer Group,https://www.linkedin.com/company/pacergroup,TSYS Tech lead,,0
Mistplay,https://ca.linkedin.com/company/mistplay,Senior / Staff ML Platform Engineer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Bond Trader | Upto $180/hr - AI Trainer,,0
ConsultNet Technology Services and Solutions,https://www.linkedin.com/company/consultnet,Data Engineer,,26 applicants
ConsultNet Technology Services and Solutions,https://www.linkedin.com/company/consultnet,Data Engineer,,39 applicants
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Software Engineer - Java, GPUs",,0
Thnks,https://www.linkedin.com/company/thnks,AI Agent Intern,,0
Fabric Ventures,https://lu.linkedin.com/company/fabricventures,"Principal Mobile Engineer, Platform - MetaMask",,0
Emerald Resource Group,https://www.linkedin.com/company/emerald-resource-group,Private Equity Associate,,33 applicants
SES Corporation,https://www.linkedin.com/company/ses-corporation,AWS/Lambda Developer,,31 applicants
SES Corporation,https://www.linkedin.com/company/ses-corporation,AWS/Lambda Developer,,31 applicants
Sundayy,https://www.linkedin.com/company/sundayyglobal,AI/ML Engineer,,25 applicants
GitLab,https://www.linkedin.com/company/gitlab-com,"Senior Backend Engineer (AI), Pipeline Execution",,0
Combined Metal Industries,https://ca.linkedin.com/company/combined-metal-industries-inc-,NEW GRAD - Commodity Trader Trainee,,0
Alignerr,https://www.linkedin.com/company/alignerr,AI Automation & Tool Use Engineer,,0
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Senior Software Engineer - GPUs, Java",,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,"Software Engineer II (Js, API)",,31 applicants
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Software Test Engineer - Automation, Python",,0
Erias Ventures,https://www.linkedin.com/company/eriasventures,"Enterprise - Senior Software Engineer - Java, AWS, Databases",,0
Moda Health,https://www.linkedin.com/company/moda-health,Provider Data Analyst I,,94 applicants
KellyMitchell Group,https://www.linkedin.com/company/kelly-mitchell-group-inc,Senior Full Stack Developer,,116 applicants
MAVI Farmacéutica,https://mx.linkedin.com/company/mavifarma,Operador de Sistemas Críticos.,,0
Bold+Beyond,https://www.linkedin.com/company/bold-beyond,Mobile Developer - US Remote Contractor,,25 applicants
Actively AI,https://www.linkedin.com/company/actively-ai,Technical Recruiter,,0
Toyota Automated Logistics,https://jp.linkedin.com/company/toyotaautomatedlogistics,Software Project Engineer (New Grad 2026),,32 applicants
Erias Ventures,https://www.linkedin.com/company/eriasventures,Enterprise - Senior Software Engineer - AWS,,0
Viva Tech Solutions,https://ca.linkedin.com/company/viva-tech-solutions,Oracle PL-SQL Developer,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,"ML Engineer, AI",,86 applicants
Year Up United,https://www.linkedin.com/school/year-up-united/,Entry Level Programming Opportunity,,0
Alignerr,https://www.linkedin.com/company/alignerr,Software Engineer - Frontend,,31 applicants
Safeway,https://www.linkedin.com/company/safeway,Front End Entry Level,,0
Sundayy,https://www.linkedin.com/company/sundayyglobal,Machine Learning Engineer,,36 applicants
Bluecrest Residential,https://www.linkedin.com/company/bluecrest-residential,Asset & Investment Management Analyst - Multifamily Private Equity,,33 applicants
Mercor,https://www.linkedin.com/company/mercor-ai,Investment Banking Analyst - AI Trainer,,0
SES Corporation,https://www.linkedin.com/company/ses-corporation,Salesforce Developer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Frontend Software Engineer | $110/hr - AI Trainer,,0
Mercor,https://www.linkedin.com/company/mercor-ai,Investment Banking Consultant | $130/hr - AI Trainer,,0
